Place,Year,Occurrences
ברוקלין,1992,1
ברוקלין,1995,1
ברוקלין,2004,1
ברוקלין,2007,3
ברוקלין,2009,1
ברוקלין,2017,1
ברזיל,0,22
ברזיל,1962,1
ברזיל,1971,1
ברזיל,1974,1
ברזיל,1978,1
ברזיל,1980,1
ברזיל,1983,2
ברזיל,1988,1
ברזיל,1990,1
ברזיל,1992,1
ברזיל,1993,2
ברזיל,1994,2
ברזיל,1995,2
ברזיל,1997,1
ברזיל,1999,2
ברזיל,2000,3
ברזיל,2001,1
ברזיל,2002,2
ברזיל,2004,2
ברזיל,2005,1
ברזיל,2008,2
ברזיל,2009,1
ברזיל,2012,1
ברזיל,2013,2
ברזיליה,0,1
ברזיליה,1991,1
ברזיליה,2010,1
בריטניה,0,7
בריטניה,1965,1
בריטניה,1970,1
בריטניה,1992,1
בריטניה,2004,2
בריטניה,2015,1
בריסל,0,7
בריסל,1968,1
בריסל,1992,1
בריסל,2000,1
בריסל,2007,1
בריסל,2018,1
ברלין,0,12
ברלין,1988,1
ברלין,1989,3
ברלין,1990,2
ברלין,1991,3
ברלין,1998,1
ברלין,2000,1
ברלין,2007,3
ברלין,2008,2
ברלין,2010,1
ברלין,2012,2
ברלין,2014,2
ברלין,2015,2
ברלין,2016,1
ברלין,2017,3
ברמודה,0,1
ברמודה,1988,1
ברמודה,2015,2
ברצלונה,0,5
ברצלונה,1963,1
ברצלונה,1976,1
ברצלונה,1985,1
ברצלונה,1995,1
ברצלונה,1996,4
ברצלונה,1998,1
ברצלונה,2000,1
ברצלונה,2002,2
ברצלונה,2004,1
ברצלונה,2009,1
ברצלונה,2010,1
ברצלונה,2014,1
ברצלונה,2015,1
ברצלונה,2017,1
ברצלונה,2018,1
בת ים,0,22
בת ים,1974,1
בת ים,1980,1
בת ים,1982,1
בת ים,1986,1
בת ים,1991,3
בת ים,1992,2
בת ים,1997,2
בת ים,1998,1
בת ים,2000,1
בת ים,2002,1
בת ים,2003,1
בת ים,2004,1
בת ים,2005,1
בת ים,2007,1
בת ים,2009,1
בת ים,2014,1
בת ים,2015,2
בת ים,2016,5
בת ים,2017,1
ג'בליה,1978,1
ג'ורג'יה,0,1
ג'יבוטי,1950,1
ג'יבוטי,1969,1
ג'יבוטי,1971,1
ג'לג'וליה,0,1
ג'לג'וליה,1994,1
ג'לג'וליה,2000,1
ג'נין,0,6
ג'נין,1960,1
ג'נין,1967,2
ג'נין,1982,1
ג'נין,1986,1
ג'נין,2002,1
ג'נין,2003,3
ג'נין,2007,3
ג'נין,2013,1
גאנה,1968,1
גבעתיים,0,22
גבעתיים,1969,1
גבעתיים,1973,2
גבעתיים,1977,1
גבעתיים,1978,3
גבעתיים,1991,3
גבעתיים,1992,1
גבעתיים,1994,1
גבעתיים,1997,1
גבעתיים,1999,2
גבעתיים,2000,2
גבעתיים,2003,1
גבעתיים,2005,1
גבעתיים,2008,2
גבעתיים,2009,4
גבעתיים,2010,1
גבעתיים,2011,3
גבעתיים,2015,3
גבעתיים,2017,2
גבעתיים,2018,1
גדרה,0,3
גדרה,1965,2
גדרה,1968,3
גדרה,1999,2
גדרה,2010,2
גואטמאלה,0,2
גואטמאלה,2001,1
גואטמאלה,2006,7
גולן,0,31
גולן,1950,1
גולן,1955,1
גולן,1956,1
גולן,1962,4
גולן,1964,1
גולן,1965,1
גולן,1967,8
גולן,1968,9
גולן,1969,3
גולן,1970,4
גולן,1971,1
גולן,1972,1
גולן,1974,1
גולן,1975,4
גולן,1977,2
גולן,1978,2
גולן,1985,1
גולן,1990,2
גולן,1991,2
גולן,1992,2
גולן,1994,1
גולן,1998,1
גולן,1999,1
גולן,2000,2
גולן,2001,1
גולן,2002,1
גולן,2003,1
גולן,2004,1
גולן,2005,1
גולן,2007,1
גולן,2008,1
גולן,2010,1
גולן,2011,1
גולן,2013,1
גולן,2015,6
גולן,2018,1
גומל,0,1
גומל,1990,4
גומל,2017,1
גוש חלב,1969,1
גוש חלב,2004,2
גוש עציון,1970,1
גוש עציון,2019,1
גוש קטיף,0,4
גזר,0,1
גלבוע,1973,1
גלגל,0,1
גלגל,1960,1
גליל,0,51
גליל,1934,1
גליל,1937,2
גליל,1947,3
גליל,1950,1
גליל,1951,4
גליל,1952,1
גליל,1954,1
גליל,1956,5
גליל,1957,2
גליל,1958,4
גליל,1959,2
גליל,1960,4
גליל,1961,1
גליל,1962,2
גליל,1963,1
גליל,1964,3
גליל,1965,3
גליל,1966,1
גליל,1967,3
גליל,1968,5
גליל,1969,2
גליל,1971,2
גליל,1972,4
גליל,1973,3
גליל,1974,2
גליל,1975,1
גליל,1976,2
גליל,1977,2
גליל,1979,3
גליל,1980,2
גליל,1981,2
גליל,1983,1
גליל,1984,1
גליל,1987,1
גליל,1988,1
גליל,1990,6
גליל,1992,3
גליל,1996,1
גליל,1997,2
גליל,1998,8
גליל,1999,1
גליל,2000,7
גליל,2001,3
גליל,2002,1
גליל,2003,1
גליל,2004,1
גליל,2005,1
גליל,2006,3
גליל,2007,3
גליל,2008,6
גליל,2010,6
גליל,2011,2
גליל,2013,2
גליל,2014,1
גליל,2015,3
גליל,2016,2
גליל,2018,1
גליל,2019,1
גן יבנה,0,1
גן יבנה,2016,1
גרוזיה,1969,2
גרוזיה,1999,2
גרמניה,0,8
גרמניה,2006,1
גרמניה,2010,1
גרמניה,2013,1
גת,0,4
גת,1950,1
גת,1952,2
גת,1970,2
גת,1986,1
גת,1994,1
גת,1997,1
גת,1998,1
דאלאס,1960,1
דאלאס,1981,2
דאלאס,1982,1
דאלאס,1986,1
דאלאס,1996,4
דבלין,0,2
דגניה,0,1
דילי,1975,1
דימונה,0,15
דימונה,1955,1
דימונה,1957,1
דימונה,1966,3
דימונה,1970,1
דימונה,1986,2
דימונה,1987,1
דימונה,1989,1
דימונה,1992,1
דימונה,1999,2
דימונה,2004,1
דימונה,2005,2
דימונה,2007,1
דימונה,2009,1
דימונה,2013,1
דימונה,2014,1
דימונה,2015,2
דלהי,0,1
דלהי,1992,2
דלהי,2007,1
דלהי,2011,2
דלוור,0,2
דמשק,0,22
דמשק,1955,1
דמשק,1964,1
דמשק,1967,7
דמשק,1968,2
דמשק,1969,1
דמשק,1970,1
דמשק,1971,2
דמשק,1972,1
דמשק,1973,2
דמשק,1980,2
דמשק,1985,1
דמשק,1988,1
דמשק,1999,2
דמשק,2000,3
דמשק,2003,1
דמשק,2004,1
דמשק,2010,2
דמשק,2015,1
דמשק,2017,2
דמשק,2018,1
דנוור,0,1
דרום אפריקה,0,1
האג,1987,1
האג,1998,1
הודו,0,60
הודו,1953,1
הודו,1968,1
הודו,1969,3
הודו,1970,1
הודו,1971,1
הודו,1975,1
הודו,1978,1
הודו,1979,1
הודו,1984,1
הודו,1986,2
הודו,1987,1
הודו,1988,1
הודו,1990,2
הודו,1992,6
הודו,1993,4
הודו,1994,1
הודו,1995,2
הודו,1997,1
הודו,1998,7
הודו,1999,3
הודו,2000,6
הודו,2001,5
הודו,2002,2
הודו,2003,3
הודו,2004,5
הודו,2006,3
הודו,2007,4
הודו,2008,3
הודו,2010,3
הודו,2011,2
הודו,2012,3
הודו,2015,4
הודו,2016,2
הודו,2017,3
הודו,2018,1
הודו,2019,2
הוואי,0,1
הוואי,1992,1
הוואי,2000,2
הוואנה,0,6
הוואנה,1949,1
הוואנה,1968,1
הוואנה,1984,1
הוואנה,2000,1
הוואנה,2006,2
הוואנה,2008,2
הוואנה,2010,1
הוואנה,2017,1
הוליווד,0,22
הוליווד,1967,1
הוליווד,1968,2
הוליווד,1979,1
הוליווד,1982,2
הוליווד,1990,1
הוליווד,2000,2
הוליווד,2001,1
הוליווד,2003,1
הוליווד,2005,1
הוליווד,2008,1
הוליווד,2009,1
הוליווד,2010,1
הוליווד,2016,1
הוליווד,2017,1
הולנד,0,11
הולנד,2011,1
הונג קונג,2006,1
הונג קונג,2010,1
הונגריה,0,3
הונגריה,1990,1
הונגריה,2000,1
הונגריה,2015,1
הונגריה,2016,1
הונדורס,0,1
הונדורס,1950,1
הונדורס,1969,1
הונדורס,1970,1
הונדורס,1971,1
הירקון,1968,1
הקוטב הצפוני,1977,1
הר הבית,0,2
הר נפתלי,0,2
הרצליה,0,26
הרצליה,1966,1
הרצליה,1967,1
הרצליה,1973,2
הרצליה,1974,2
הרצליה,1975,1
הרצליה,1981,2
הרצליה,1994,1
הרצליה,1998,2
הרצליה,2000,1
הרצליה,2003,3
הרצליה,2004,2
הרצליה,2005,2
הרצליה,2007,3
הרצליה,2008,1
הרצליה,2013,1
הרצליה,2015,2
הרצליה,2017,1
ואטיקאן,0,1
וויומינג,0,2
ויאטנם,1990,1
וייטנאם,0,3
וינה,0,11
וינה,1959,2
וינה,1987,1
וינה,1990,4
וינה,1998,1
וינה,2000,1
וינה,2014,1
וינה,2015,1
וינה,2017,1
ויקטוריה,0,6
ויקטוריה,1994,2
וירג'יניה,0,2
וירג'יניה,2006,1
ולטה,0,1
ולטה,1973,1
ונצואלה,1959,3
ונצואלה,1986,1
ונציה,0,2
ונציה,1964,1
ונציה,1966,2
ונציה,1969,1
ונציה,1972,1
ונציה,1975,1
ונציה,1992,2
ונציה,1993,1
ונציה,1998,1
ונציה,2004,1
ונציה,2005,1
ונציה,2014,1
ורסאי,0,4
ורסאי,1987,3
ורשה,0,6
ורשה,1958,2
ורשה,1970,1
ורשה,1984,1
ורשה,1988,1
ורשה,1991,1
ורשה,1992,1
ורשה,1993,1
ורשה,1995,1
ורשה,2003,1
ורשה,2012,1
ז'נבה,1958,1
ז'נבה,1963,2
ז'נבה,2000,2
ז'נבה,2006,1
זאיר,2010,1
זימבבואה,1998,1
זמביה,1983,1
זמביה,2011,1
חבל קטיף,0,1
חבל קטיף,1987,1
חברון,0,10
חברון,1956,1
חברון,1958,2
חברון,1960,1
חברון,1967,1
חברון,1968,1
חברון,1973,1
חברון,1988,1
חברון,1991,1
חברון,1992,2
חברון,1993,2
חברון,2000,2
חברון,2003,1
חברון,2004,1
חברון,2008,1
חברון,2009,1
חברון,2010,1
חברון,2011,2
חברון,2014,1
חברון,2015,1
חברון,2017,1
חבש,0,1
חדרה,0,15
חדרה,1958,1
חדרה,1965,2
חדרה,1966,1
חדרה,1968,3
חדרה,1989,1
חדרה,1992,1
חדרה,1999,2
חדרה,2004,1
חדרה,2006,1
חדרה,2007,1
חדרה,2008,2
חדרה,2010,1
חדרה,2011,1
חדרה,2015,3
חדרה,2017,1
חולון,0,18
חולון,1975,1
חולון,1981,2
חולון,1984,1
חולון,1986,1
חולון,1991,1
חולון,1993,1
חולון,1994,1
חולון,1996,1
חולון,1998,3
חולון,2000,4
חולון,2002,1
חולון,2009,2
חולון,2011,1
חולון,2013,2
חולון,2014,1
חולון,2017,1
חולון,2018,1
חיפה,0,80
חיפה,1957,1
חיפה,1958,3
חיפה,1959,1
חיפה,1960,1
חיפה,1961,1
חיפה,1962,1
חיפה,1963,3
חיפה,1964,2
חיפה,1965,3
חיפה,1967,2
חיפה,1968,4
חיפה,1969,1
חיפה,1970,1
חיפה,1971,3
חיפה,1973,1
חיפה,1975,2
חיפה,1976,1
חיפה,1979,2
חיפה,1981,4
חיפה,1982,3
חיפה,1985,1
חיפה,1986,1
חיפה,1988,5
חיפה,1990,1
חיפה,1991,2
חיפה,1992,3
חיפה,1994,1
חיפה,1996,1
חיפה,1997,3
חיפה,1998,2
חיפה,1999,2
חיפה,2000,14
חיפה,2001,3
חיפה,2002,4
חיפה,2003,3
חיפה,2004,2
חיפה,2005,3
חיפה,2006,1
חיפה,2007,4
חיפה,2008,4
חיפה,2009,1
חיפה,2011,2
חיפה,2012,1
חיפה,2013,1
חיפה,2014,1
חיפה,2015,3
חיפה,2016,2
חיפה,2017,3
חיפה,2019,1
חצור,1967,1
חצור,1973,1
חצור,1987,1
חצור,2008,1
חרמון,0,35
חרמון,1948,1
חרמון,1956,1
חרמון,1957,1
חרמון,1960,5
חרמון,1961,2
חרמון,1962,2
חרמון,1967,9
חרמון,1968,6
חרמון,1969,2
חרמון,1970,4
חרמון,1971,1
חרמון,1972,3
חרמון,1973,3
חרמון,1974,4
חרמון,1976,1
חרמון,1978,1
חרמון,1987,1
חרמון,1989,1
חרמון,1990,2
חרמון,1991,1
חרמון,1994,2
חרמון,1996,1
חרמון,1999,1
חרמון,2000,5
חרמון,2001,2
חרמון,2003,1
חרמון,2004,2
חרמון,2006,2
חרמון,2008,2
חרמון,2012,1
חרמון,2013,1
חרמון,2015,1
טאבה,0,2
טבריה,0,30
טבריה,1954,1
טבריה,1964,1
טבריה,1965,2
טבריה,1966,1
טבריה,1967,3
טבריה,1968,4
טבריה,1971,1
טבריה,1976,1
טבריה,1979,3
טבריה,1983,1
טבריה,1987,2
טבריה,1991,1
טבריה,1992,1
טבריה,1993,2
טבריה,1997,1
טבריה,1998,2
טבריה,2000,4
טבריה,2001,2
טבריה,2002,1
טבריה,2005,1
טבריה,2007,2
טבריה,2010,1
טבריה,2015,1
טבריה,2018,3
טהראן,0,1
טהראן,1990,1
טהראן,2012,1
טול כרם,0,2
טוקיו,0,5
טוקיו,1968,3
טוקיו,1974,1
טוקיו,1975,1
טוקיו,1978,1
טוקיו,1985,2
טוקיו,1987,1
טוקיו,1991,2
טוקיו,1993,1
טוקיו,2000,1
טוקיו,2007,1
טוקיו,2011,2
טוקיו,2015,2
טוקיו,2018,1
טורקיה,0,12
טורקיה,1967,1
טורקיה,1995,1
טורקיה,1998,1
טיוואן,0,3
טירה,1971,2
טירה,1983,1
טירה,1991,1
טירה,2003,1
טנזניה,1950,1
טנזניה,1969,1
טנזניה,1971,1
טנזניה,1998,1
טנסי,0,1
טנסי,2008,1
טנסי,2014,1
טקסס,0,3
טקסס,1990,2
טקסס,1992,1
טקסס,1996,1
טקסס,2007,2
טקסס,2019,1
טרבלינקה,0,2
טרבלינקה,1984,1
טרבלינקה,1988,1
טרבלינקה,1993,1
יבנה,0,26
יבנה,1955,1
יבנה,1960,3
יבנה,1980,1
יבנה,1994,2
